Event Name,Event Date,Rated,Round,Player 1,Player 2,Result
"Thursday Flesh and Blood Locals","May 19, 2023, 9:49 a.m.","False",1,"Stanley, isaac (67696938)","McCoy, Chris (93772277)","Player 2 Win"
"Thursday Flesh and Blood Locals","May 19, 2023, 9:49 a.m.","False",2,"Stanley, isaac (67696938)","Semones, Zachary (71734921)","Player 2 Win"
"Thursday Flesh and Blood Locals","May 19, 2023, 9:49 a.m.","False",3,"Stanley, isaac (67696938)","Stamper, Patrick (98962536)","Player 2 Win"
"TGE Draft On-Demand","May 19, 2023, 12:45 a.m.","False",1,"Stanley, isaac (67696938)","Hawks, Dakota (86729596)","Player 1 Win"
"TGE Draft On-Demand","May 19, 2023, 12:45 a.m.","False",2,"Lansangan, Nathaniel (12242261)","Stanley, isaac (67696938)","Player 1 Win"
"TGE Draft On-Demand","May 19, 2023, 12:45 a.m.","False",3,"McCoy, Chris (93772277)","Stanley, isaac (67696938)","Player 1 Win"
"Thursday Flesh & Blood locals","May 12, 2023, 9:46 a.m.","False",1,"Stanley, isaac (67696938)","Stamper, Patrick (98962536)","Player 2 Win"
"Thursday Flesh & Blood locals","May 12, 2023, 9:46 a.m.","False",2,"Lombardo, Gabriel (96352844)","Stanley, isaac (67696938)","Player 1 Win"
"Thursday Flesh & Blood locals","May 12, 2023, 9:46 a.m.","False",3,"McCoy, Chris (93772277)","Stanley, isaac (67696938)","Player 1 Win"
"TGE On-Demand CC","May 11, 2023, 10:30 p.m.","False",1,"McCoy, Chris (93772277)","Stanley, isaac (67696938)","Player 1 Win"
"TGE On-Demand CC","May 11, 2023, 10:30 p.m.","False",2,"Richard, Paden (43822525)","Stanley, isaac (67696938)","Player 2 Win"
"TGE On-Demand CC","May 11, 2023, 10:30 p.m.","False",3,"Lansangan, Nathaniel (12242261)","Stanley, isaac (67696938)","Player 1 Win"
"Thursday Flesh and Blood on Demand","May 5, 2023, 3:39 p.m.","False",1,"Lombardo, Gabriel (96352844)","Stanley, isaac (67696938)","Player 2 Win"
"Thursday Flesh and Blood on Demand","May 5, 2023, 3:39 p.m.","False",2,"Hawks, Dakota (86729596)","Stanley, isaac (67696938)","Player 2 Win"
"Thursday Flesh and Blood on Demand","May 5, 2023, 3:39 p.m.","False",3,"Tharp, Daniel (37218473)","Stanley, isaac (67696938)","Player 1 Win"
"Thursday Flesh and Blood Locals","May 4, 2023, 7 p.m.","False",1,"Stanley, isaac (67696938)","None","Player 1 Win"
"Thursday Flesh and Blood Locals","May 4, 2023, 7 p.m.","False",2,"Stanley, isaac (67696938)","Richard, Paden (43822525)","Player 2 Win"
"Thursday Flesh and Blood Locals","May 4, 2023, 7 p.m.","False",3,"Stanley, isaac (67696938)","Lansangan, Nathaniel (12242261)","Player 2 Win"
"Thursday Flesh and Blood Locals","May 4, 2023, 7 p.m.","False",4,"Stanley, isaac (67696938)","McCoy, Chris (93772277)","Player 2 Win"
"Draft on demand","April 28, 2023, 2:27 p.m.","False",1,"Stanley, isaac (67696938)","Hawks, Dakota (86729596)","Player 2 Win"
"Draft on demand","April 28, 2023, 2:27 p.m.","False",2,"Stanley, isaac (67696938)","Richard, Paden (43822525)","Player 1 Win"
"Draft on demand","April 28, 2023, 2:27 p.m.","False",3,"Lombardo, Gabriel (96352844)","Stanley, isaac (67696938)","Player 1 Win"
"Thursday Flesh and Blood Locals","April 28, 2023, 8:22 a.m.","False",1,"Stanley, isaac (67696938)","Lombardo, Gabriel (96352844)","Player 1 Win"
"Thursday Flesh and Blood Locals","April 28, 2023, 8:22 a.m.","False",2,"Stanley, isaac (67696938)","Hawks, Dakota (86729596)","Player 2 Win"
"Thursday Flesh and Blood Locals","April 28, 2023, 8:22 a.m.","False",3,"Stanley, isaac (67696938)","McCoy, Chris (93772277)","Player 2 Win"
"TGE Skirmish (Blitz!)","April 23, 2023, 3 p.m.","False",1,"Stanley, isaac (67696938)","Lombardo, Gabriel (96352844)","Player 1 Win"
"TGE Skirmish (Blitz!)","April 23, 2023, 3 p.m.","False",2,"Stanley, isaac (67696938)","Salvatore, Brandon (66934195)","Player 2 Win"
"TGE Skirmish (Blitz!)","April 23, 2023, 3 p.m.","False",3,"Stanley, isaac (67696938)","Semones, Zachary (71734921)","Player 1 Win"
"TGE Skirmish (Blitz!)","April 23, 2023, 3 p.m.","False",4,"Tharp, Daniel (37218473)","Stanley, isaac (67696938)","Player 1 Win"
"TGE Skirmish (Blitz!)","April 23, 2023, 3 p.m.","False",1,"Pence, Jon (68664935)","Stanley, isaac (67696938)","Player 2 Win"
"TGE Skirmish (Blitz!)","April 23, 2023, 3 p.m.","False",2,"Hawks, Dakota (86729596)","Stanley, isaac (67696938)","Player 2 Win"
"TGE Skirmish (Blitz!)","April 23, 2023, 3 p.m.","False",3,"Snyder, Nathaniel (21971223)","Stanley, isaac (67696938)","Player 1 Win"
"Flesh & Blood: Skirmish (Season 6) - Blitz","April 22, 2023, noon","False",1,"Stanley, isaac (67696938)","Peediakal, Abraham (41743324)","Player 2 Win"
"Flesh & Blood: Skirmish (Season 6) - Blitz","April 22, 2023, noon","False",2,"Stanley, isaac (67696938)","Puckett, Matthew (69283994)","Player 2 Win"
"Flesh & Blood: Skirmish (Season 6) - Blitz","April 22, 2023, noon","False",3,"Stanley, isaac (67696938)","None","Player 1 Win"
"Flesh & Blood: Skirmish (Season 6) - Blitz","April 22, 2023, noon","False",4,"Matthews, Eugene (26799764)","Stanley, isaac (67696938)","Player 2 Win"
"Flesh & Blood: Skirmish (Season 6) - Blitz","April 22, 2023, noon","False",5,"Bray, Thomas (21954444)","Stanley, isaac (67696938)","Player 1 Win"
"Thursday Flesh & Blood locals","April 21, 2023, 10:57 a.m.","False",1,"Stanley, isaac (67696938)","McCoy, Chris (98417846)","Player 2 Win"
"Thursday Flesh & Blood locals","April 21, 2023, 10:57 a.m.","False",2,"Stanley, isaac (67696938)","Lansangan, Nathaniel (12242261)","Player 1 Win"
"Thursday Flesh & Blood locals","April 21, 2023, 10:57 a.m.","False",3,"Richard, Paden (43822525)","Stanley, isaac (67696938)","Player 2 Win"
"TGE On-Demand Blitz","April 20, 2023, 10:35 p.m.","False",1,"McCoy, Chris (93772277)","Stanley, isaac (67696938)","Player 1 Win"
"TGE On-Demand Blitz","April 20, 2023, 10:35 p.m.","False",2,"Stamper, Patrick (98962536)","Stanley, isaac (67696938)","Player 1 Win"
"TGE On-Demand Blitz","April 20, 2023, 10:35 p.m.","False",3,"Stanley, isaac (67696938)","Lansangan, Nathaniel (12242261)","Player 1 Win"
"Draft On-Demand","April 13, 2023, 10:20 p.m.","False",1,"Lansangan, Nathaniel (12242261)","Stanley, isaac (67696938)","Player 1 Win"
"Draft On-Demand","April 13, 2023, 10:20 p.m.","False",2,"McCoy, Chris (93772277)","Stanley, isaac (67696938)","Player 2 Win"
"Draft On-Demand","April 13, 2023, 10:20 p.m.","False",3,"Stanley, isaac (67696938)","Tharp, Daniel (37218473)","Player 1 Win"
"Thursday Flesh and Blood Locals","April 13, 2023, 7 p.m.","False",1,"Tharp, Daniel (37218473)","Stanley, isaac (67696938)","Player 1 Win"
"Thursday Flesh and Blood Locals","April 13, 2023, 7 p.m.","False",2,"Lombardo, Gabriel (96352844)","Stanley, isaac (67696938)","Player 1 Win"
"Thursday Flesh and Blood Locals","April 13, 2023, 7 p.m.","False",3,"Stanley, isaac (67696938)","None","Player 1 Win"
"Thursday Flesh and Blood Locals","April 7, 2023, 10:41 a.m.","False",1,"Stanley, isaac (67696938)","McCoy, Chris (93772277)","Player 1 Win"
"Thursday Flesh and Blood Locals","April 7, 2023, 10:41 a.m.","False",2,"Richard, Paden (43822525)","Stanley, isaac (67696938)","Player 1 Win"
"Thursday Flesh and Blood Locals","April 7, 2023, 10:41 a.m.","False",3,"Stanley, isaac (67696938)","Pence, Jon (68664935)","Player 1 Win"
"TGE Draft On-Demand","March 31, 2023, 10:30 p.m.","False",1,"Stanley, isaac (67696938)","McCoy, Chris (93772277)","Player 2 Win"
"TGE Draft On-Demand","March 31, 2023, 10:30 p.m.","False",2,"Stanley, isaac (67696938)","Richard, Paden (43822525)","Player 2 Win"
"TGE Draft On-Demand","March 31, 2023, 10:30 p.m.","False",3,"Lombardo, Gabriel (96352844)","Stanley, isaac (67696938)","Player 2 Win"
"Draft on demand","March 31, 2023, 9:15 p.m.","False",1,"Stanley, isaac (67696938)","Lansangan, Nathaniel (12242261)","Player 2 Win"
"Draft on demand","March 31, 2023, 9:15 p.m.","False",2,"Stanley, isaac (67696938)","Hawks, Dakota (86729596)","Player 2 Win"
"Draft on demand","March 31, 2023, 9:15 p.m.","False",3,"Lombardo, Gabriel (96352844)","Stanley, isaac (67696938)","Player 1 Win"
"Thursday Flesh and Blood Locals","March 31, 2023, 10:56 a.m.","False",1,"Stanley, isaac (67696938)","McCoy, Chris (93772277)","Player 1 Win"
"Thursday Flesh and Blood Locals","March 31, 2023, 10:56 a.m.","False",2,"Stanley, isaac (67696938)","Hawks, Dakota (86729596)","Player 2 Win"
"Thursday Flesh and Blood Locals","March 31, 2023, 10:56 a.m.","False",3,"Stanley, isaac (67696938)","Tharp, Daniel (37218473)","Player 2 Win"
"Thursday Flesh and Blood Locals","March 31, 2023, 10:56 a.m.","False",4,"Stanley, isaac (67696938)","Lombardo, Gabriel (96352844)","Player 2 Win"
"Chicago Brawl $5k CC Tournament with MinMax Games","March 25, 2023, 10 a.m.","False",1,"Stanley, isaac (67696938)","Kane, Joseph (73235521)","Double Loss"
"Thursday Flesh and Blood Locals","March 24, 2023, 11:31 a.m.","False",1,"Stanley, isaac (67696938)","Richard, Paden (43822525)","Player 2 Win"
"Thursday Flesh and Blood Locals","March 24, 2023, 11:31 a.m.","False",2,"Stanley, isaac (67696938)","None","Player 1 Win"
"Thursday Flesh and Blood Locals","March 24, 2023, 11:31 a.m.","False",3,"McCoy, Chris (93772277)","Stanley, isaac (67696938)","Player 2 Win"
"TGE On-Demand Draft","March 24, 2023, 12:30 a.m.","False",1,"Lombardo, Gabriel (96352844)","Stanley, isaac (67696938)","Player 2 Win"
"TGE On-Demand Draft","March 24, 2023, 12:30 a.m.","False",2,"Stanley, isaac (67696938)","Hawks, Dakota (86729596)","Player 2 Win"
"TGE On-Demand Draft","March 24, 2023, 12:30 a.m.","False",3,"Stanley, isaac (67696938)","Lansangan, Nathaniel (12242261)","Player 2 Win"
"TGE Draft On-Demand","March 19, 2023, 8 p.m.","False",1,"Stanley, isaac (67696938)","McCoy, Chris (93772277)","Player 2 Win"
